GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AirLines,seguridad.airlines,Vuelo,29,30,2,2,6,9,5,3,4,2
AirLines,seguridad.airlines,Pasajero,0,39,0,2,0,11,0,6,0,5
